SOUVENIR_ID,ATHLETE_NAME,SOUVENIR,SOUVENIR_COST,CATEGORY,ADDITIONAL_COST,ADDITIONAL_COST_DESCRIPTION,AUTOGRAPH_COST,QUANTITY
1,AJ Green,UGA Football,25,Football,40,Display Case,50,2
2,Allison Mack,Poster,10,Actor,0,N/A,35,1
3,Alonzo Mourning,Basketball,40,Basketball,0,N/A,0,1
4,Anthony Davis,Poster,0,Basketball,15,Frame,0,1
5,Bill Walton,Sports Card - Rookie,75,Basketball,0,N/A,0,1
6,Chris Mullin,Jersey,25,Basketball,25,Shipping / COA,75,1
7,David Robinson,Basketball,125,Basketball,40,Display Case,0,1
8,David Robinson,USNA Flag,15,Basketball,0,N/A,0,1
9,David Robinson ,Jersey,25,Basketball,0,N/A,0,1
10,Dick Vitale / Bill Walton,Mini-Basketball,35,Basketball,0,N/A,0,1
11,Dominique Wilkins,Jersey,25,Basketball,15,Shipping,35,1
12,Hershel Walker,Picture,25,Football,10,Frame,50,1
13,Jerry Stackhouse,Basketball,40,Basketball,0,N/A,0,1
14,Jodie Meeks,Poster,0,Basketball,15,Frame,0,1
15,John Calipari,Makers Mark Bottle,0,Basketball,15,Shipping,50,1
16,John Havlicek,Mini-Basketball,35,Basketball,0,N/A,0,1
17,John Wall,Basketball,0,Basketball,40,Display Case,0,1
18,Julius Erving,Basketball,71.2,Basketball,40,Display Case,179,1
19,Julius Randle / James Young,Basketball,85,Basketball,0,N/A,55,1
20,Kareem Abdul-Jabbar/James Worthy,Basketball,125,Basketball,40,Display Case,0,1
21,Larry Bird,Jersey,25,Basketball,250,Framing,180,1
22,Magic Johnson,Jersey,25,Basketball,250,Framing,159,1
23,Mark Richt,Football,25,Football,40,Display Case,0,1
24,Masters Flag,Flag,50,Golf,300,Framing,0,1
25,Michael Vick,Football,50,Football,40,Display Case,75,1
26,Napoleon Dynamite,Poster,10,Actor,15,Frame,35,1
27,Patrick Ewing,Jersey,25,Basketball,15,Shipping,180,1
28,Peyton Manning,Football,25,Football,40,Display Case,350,1
29,Randall Cobb,Football,25,Football,40,Display Case,50,1
30,Shaquille O'Neal,Jersey,25,Basketball,250,Framing,249,1
31,Stan Lee,Poster,10,Comics,15,Frame,85,1
32,Tony Gwynn,Baseball Bat,75,Baseball,0,N/A,99,1
33,Tubby Smith,SI Book,0,Basketball,0,N/A,0,1
34,UK 1996 Basketball,Basketball,0,Basketball,40,Display Case,0,1
35,UK 2012 Basketball,Basketball,50,Basketball,100,Display Case,180,1
36,UK 2012 Basketball Poster,Poster,0,Basketball,15,Frame,0,1
37,Marshawn Lynch,Super Bowl Football,100,Football,6,JSA Certification,150,1
38,Ozzie Smith,Hall of Fame Baseball,20,Baseball,29.5,HOF Inscription/S&H,60,1
39,Frank Thomas,Hall of Fame Baseball,20,Baseball,54.5,HOF Inscription/S&H,99,1
40,Shawn Kemp,Jersey,25,Basketball,4.5,Shipping,49,1
41,Scottie Pippen,Jersey,25,Basketball,4.5,Shipping,209,1
